Win/Loss Ratio Diff,Point Differential Diff
-4.227941176470584317e-02,-1.930000000000000000e+02
6.535947712418299638e-02,-1.300000000000000000e+01
-1.286764705882348370e-02,-6.800000000000000000e+01
0.000000000000000000e+00,7.000000000000000000e+01
3.832442067736185898e-02,-2.700000000000000000e+01
-1.575757575757575912e-01,-4.470000000000000000e+02
-6.862745098039224612e-02,-7.700000000000000000e+01
-1.470588235294116863e-01,-2.830000000000000000e+02
-1.562500000000000000e-01,-3.100000000000000000e+02
-2.647058823529411242e-01,-2.870000000000000000e+02
-2.647058823529411242e-01,-4.200000000000000000e+02
-7.142857142857139685e-02,8.500000000000000000e+01
7.142857142857139685e-02,-8.500000000000000000e+01
-3.073593073593073877e-01,-4.860000000000000000e+02
1.328273244781785767e-02,-1.900000000000000000e+01
-1.328273244781785767e-02,1.900000000000000000e+01
-2.779886148007589819e-01,-3.370000000000000000e+02
